id;numero_individuos;fonte_informacao_qtde;observacoes
1;38652;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;88471;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;55251;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;66716;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;48282;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;46046;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;3805;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;83327;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;60307;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;2142;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
