id;fundamentacao_doutrinaria_citada;folhas_fundamentacao_doutrinaria;fundamentacao_doutrinaria_sugerida
1;../fake-data/blob/hipster.txt;CFA Franc BCEAO website technologies;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;neural Metal;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;navigating back-end Personal Loan Account;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;Specialist compressing;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;grey Zambia;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;Latvian Lats;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;Integrated integrate Manager;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;Toys;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;dedicated content facilitate;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;object-oriented panel Avon;../fake-data/blob/hipster.txt
