id;fundamentacao_legal;folhas_fundamentacao_legal;fundamentacao_legal_sugerida
1;../fake-data/blob/hipster.txt;yellow Rand Loti;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;enterprise Inlet;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;Buckinghamshire;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;copying Antarctica (the territory South of 60 deg S) back-end;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;Multi-layered;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;Unbranded tan Agent;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;Argentina International calculating;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;Internal;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;orchid pixel;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;payment plug-and-play holistic;../fake-data/blob/hipster.txt
