id;instrumento_internacional_citado_descricao;folhas_instrumento_internacional;instrumento_internacional_sugerido
1;../fake-data/blob/hipster.txt;Beleza Toalhas Congelado;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;Avenida Moroccan parsing;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;Bacon;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;Caledonia Solutions;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;invoice;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;motivating Bedfordshire;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;back-end Romênia Casa;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;program system;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;JBOD Buckinghamshire Incrível;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;Research Programmable Livros;../fake-data/blob/hipster.txt
