id;jurisprudencia_citada_descricao;folhas_jurisprudencia_citada;jurisprudencia_sugerida
1;../fake-data/blob/hipster.txt;Forward leading-edge;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;Mall;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;Internal card;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;PCI portals Beauty;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;Rustic Rubber Keyboard Frozen;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;port Associate;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;interfaces Isle Metal;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;Incredible Frozen Cheese Bulgaria Ukraine;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;Direct;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;reinvent clicks-and-mortar;../fake-data/blob/hipster.txt
