id;amazonia_legal;codigo_ibge;estado;nome
1;false;45546;Cambridgeshire generating Pequeno;SCSI Genérico
2;false;76890;deposit;copy attitude-oriented one-to-one
3;true;25680;Specialist didactic;Pará
4;true;93500;bordô Designer parsing;Rondônia program fault-tolerant
5;false;64222;Carro Internal Forint;Naira Granito
6;false;21422;Cambridgeshire;laranja maximize Líbano
7;true;65011;viral Fresco;International
8;false;60455;matrix;Mobility
9;false;32588;Pizza;port
10;false;56995;USB Paraguai;Genérico Fantástico Casa
