id;prolema_juridico_respondido;folhas_problema_juridico
1;../fake-data/blob/hipster.txt;Soap Licensed Plastic Chair
2;../fake-data/blob/hipster.txt;Extension Outdoors Rial Omani
3;../fake-data/blob/hipster.txt;Cambridgeshire Borders
4;../fake-data/blob/hipster.txt;card
5;../fake-data/blob/hipster.txt;Shirt Avon Grocery
6;../fake-data/blob/hipster.txt;cross-media
7;../fake-data/blob/hipster.txt;Philippine Peso
8;../fake-data/blob/hipster.txt;connect overriding
9;../fake-data/blob/hipster.txt;payment synthesizing lavender
10;../fake-data/blob/hipster.txt;Forge
