id;inicio_conflito_observacoes;historico_conlito;nome_caso_comuidade;consulta_previa
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;preto;false
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Versatile;false
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Senior;false
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;e-business Savings Brinquedos;true
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Genérico Concreto explicit;true
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;invoice Internal;false
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;amarelo virtual;false
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Ergonômico eyeballs;false
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;infomediaries;true
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Market;false
